uid treatment rep update task count partner
Grid0_Para0_10 Grid0_Para0 10 0 NOT 0 Host
Grid0_Para0_10 Grid0_Para0 10 0 NOT 0 Parasite
Grid0_Para0_10 Grid0_Para0 10 0 NAND 0 Host
Grid0_Para0_10 Grid0_Para0 10 0 NAND 0 Parasite
Grid0_Para0_10 Grid0_Para0 10 0 AND 0 Host
Grid0_Para0_10 Grid0_Para0 10 0 AND 0 Parasite
Grid0_Para0_10 Grid0_Para0 10 0 ORN 0 Host
Grid0_Para0_10 Grid0_Para0 10 0 ORN 0 Parasite
Grid0_Para0_10 Grid0_Para0 10 0 OR 0 Host
Grid0_Para0_10 Grid0_Para0 10 0 OR 0 Parasite
Grid0_Para0_10 Grid0_Para0 10 0 ANDN 0 Host
Grid0_Para0_10 Grid0_Para0 10 0 ANDN 0 Parasite
Grid0_Para0_10 Grid0_Para0 10 0 NOR 0 Host
Grid0_Para0_10 Grid0_Para0 10 0 NOR 0 Parasite
Grid0_Para0_10 Grid0_Para0 10 0 XOR 0 Host
Grid0_Para0_10 Grid0_Para0 10 0 XOR 0 Parasite
Grid0_Para0_10 Grid0_Para0 10 0 EQU 0 Host
Grid0_Para0_10 Grid0_Para0 10 0 EQU 0 Parasite
Grid0_Para0_10 Grid0_Para0 10 100 NOT 13960 Host
Grid0_Para0_10 Grid0_Para0 10 100 NOT 0 Parasite
Grid0_Para0_10 Grid0_Para0 10 100 NAND 0 Host
Grid0_Para0_10 Grid0_Para0 10 100 NAND 0 Parasite
Grid0_Para0_10 Grid0_Para0 10 100 AND 0 Host
Grid0_Para0_10 Grid0_Para0 10 100 AND 0 Parasite
Grid0_Para0_10 Grid0_Para0 10 100 ORN 2 Host
Grid0_Para0_10 Grid0_Para0 10 100 ORN 0 Parasite
Grid0_Para0_10 Grid0_Para0 10 100 OR 1 Host
Grid0_Para0_10 Grid0_Para0 10 100 OR 0 Parasite
Grid0_Para0_10 Grid0_Para0 10 100 ANDN 1 Host
Grid0_Para0_10 Grid0_Para0 10 100 ANDN 0 Parasite
Grid0_Para0_10 Grid0_Para0 10 100 NOR 0 Host
Grid0_Para0_10 Grid0_Para0 10 100 NOR 0 Parasite
Grid0_Para0_10 Grid0_Para0 10 100 XOR 0 Host
Grid0_Para0_10 Grid0_Para0 10 100 XOR 0 Parasite
Grid0_Para0_10 Grid0_Para0 10 100 EQU 0 Host
Grid0_Para0_10 Grid0_Para0 10 100 EQU 0 Parasite
Grid0_Para0_10 Grid0_Para0 10 200 NOT 16582 Host
Grid0_Para0_10 Grid0_Para0 10 200 NOT 0 Parasite
Grid0_Para0_10 Grid0_Para0 10 200 NAND 0 Host
Grid0_Para0_10 Grid0_Para0 10 200 NAND 0 Parasite
Grid0_Para0_10 Grid0_Para0 10 200 AND 4 Host
Grid0_Para0_10 Grid0_Para0 10 200 AND 0 Parasite
Grid0_Para0_10 Grid0_Para0 10 200 ORN 1 Host
Grid0_Para0_10 Grid0_Para0 10 200 ORN 0 Parasite
Grid0_Para0_10 Grid0_Para0 10 200 OR 3 Host
Grid0_Para0_10 Grid0_Para0 10 200 OR 0 Parasite
Grid0_Para0_10 Grid0_Para0 10 200 ANDN 1 Host
Grid0_Para0_10 Grid0_Para0 10 200 ANDN 0 Parasite
Grid0_Para0_10 Grid0_Para0 10 200 NOR 0 Host
Grid0_Para0_10 Grid0_Para0 10 200 NOR 0 Parasite
Grid0_Para0_10 Grid0_Para0 10 200 XOR 0 Host
Grid0_Para0_10 Grid0_Para0 10 200 XOR 0 Parasite
Grid0_Para0_10 Grid0_Para0 10 200 EQU 0 Host
Grid0_Para0_10 Grid0_Para0 10 200 EQU 0 Parasite
