uid treatment rep update sym_nand_count
Anti_Seed_11 Anti_Seed 11 0 0
Anti_Seed_11 Anti_Seed 11 100 5678
Anti_Seed_11 Anti_Seed 11 200 3276
Anti_Seed_11 Anti_Seed 11 300 2880
Anti_Seed_11 Anti_Seed 11 400 2581
Anti_Seed_11 Anti_Seed 11 500 2304
Anti_Seed_11 Anti_Seed 11 600 2478
Anti_Seed_11 Anti_Seed 11 700 2538
Anti_Seed_11 Anti_Seed 11 800 2434
Anti_Seed_11 Anti_Seed 11 900 2445
Anti_Seed_11 Anti_Seed 11 1000 2557
Anti_Seed_11 Anti_Seed 11 1100 2684
Anti_Seed_11 Anti_Seed 11 1200 2999
Anti_Seed_11 Anti_Seed 11 1300 3262
Anti_Seed_11 Anti_Seed 11 1400 3627
Anti_Seed_11 Anti_Seed 11 1500 12564
Anti_Seed_11 Anti_Seed 11 1600 88163
Anti_Seed_11 Anti_Seed 11 1700 111621
Anti_Seed_11 Anti_Seed 11 1800 97359
Anti_Seed_11 Anti_Seed 11 1900 86790
Anti_Seed_11 Anti_Seed 11 2000 90005
Anti_Seed_12 Anti_Seed 12 0 0
Anti_Seed_12 Anti_Seed 12 100 5127
Anti_Seed_12 Anti_Seed 12 200 3097
Anti_Seed_12 Anti_Seed 12 300 2440
Anti_Seed_12 Anti_Seed 12 400 1997
Anti_Seed_12 Anti_Seed 12 500 2337
Anti_Seed_12 Anti_Seed 12 600 2952
Anti_Seed_12 Anti_Seed 12 700 4539
Anti_Seed_12 Anti_Seed 12 800 24464
Anti_Seed_12 Anti_Seed 12 900 87532
Anti_Seed_12 Anti_Seed 12 1000 76768
Anti_Seed_12 Anti_Seed 12 1100 82859
Anti_Seed_12 Anti_Seed 12 1200 101393
Anti_Seed_12 Anti_Seed 12 1300 88676
Anti_Seed_12 Anti_Seed 12 1400 81001
Anti_Seed_12 Anti_Seed 12 1500 103672
Anti_Seed_12 Anti_Seed 12 1600 95812
Anti_Seed_12 Anti_Seed 12 1700 88134
Anti_Seed_12 Anti_Seed 12 1800 76449
Anti_Seed_12 Anti_Seed 12 1900 84179
Anti_Seed_12 Anti_Seed 12 2000 82250
