update,mean_intval,count,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,-0.00276113,6331,346,325,322,308,341,294,312,326,296,287,291,320,319,307,314,339,319,349,306,310
100,0.0068905,10000,253,244,678,509,450,780,755,637,355,294,568,456,326,499,562,872,751,218,542,251
200,0.0260374,10000,147,331,730,706,187,670,769,434,411,473,347,550,413,394,511,1044,866,442,349,226
300,0.106847,10000,169,103,491,593,335,656,504,471,489,384,588,362,366,310,580,1506,1065,459,372,197
400,-0.0157499,10000,593,394,309,597,381,1028,528,449,366,342,624,440,244,202,656,1121,951,396,125,254
500,0.00959362,10000,407,276,276,572,650,992,686,231,457,296,568,508,364,176,525,1061,1292,184,121,358
600,0.111374,10000,338,120,145,565,569,912,404,529,471,126,501,413,375,442,365,968,1391,665,237,464
700,0.178283,10000,75,115,133,459,495,782,367,414,296,245,761,810,120,479,726,799,1548,737,225,414
800,0.202304,10000,113,213,56,243,260,847,426,570,94,344,788,761,103,611,474,1064,1791,858,54,330
900,0.134042,10000,0,496,133,542,702,773,524,412,81,263,387,476,84,545,822,814,1592,932,57,365
